Date,Product Name,Units Sold,Price,Competitor Price,Stock Available,Marketing Spend,Holiday/Seasonal Indicator,Weather Condition,Economic Indicator,Social Media Trend Score,Market Sentiment Score,Competitor Activity Score
2023-04-02,OnePlus 11,32,1056,1109,130,1370,1,Cloudy,1.3982235188321621,1,0.7879045211050941,2
2023-04-02,OnePlus 12,35,306,258,356,854,1,Snowy,1.1350245661416096,60,-0.7445144729146218,9
2023-04-02,Xiaomi 12,30,812,799,239,690,1,Sunny,0.9667153224039021,64,-0.02949349081354624,2
2023-04-02,Xiaomi 13,21,667,752,365,820,1,Sunny,0.7712685864831768,11,-0.5408253822149673,2
2023-04-02,Xiaomi 14,40,737,775,398,238,1,Snowy,1.1051421968028676,45,0.7964583863256602,0
2023-04-02,Oppo Find X5,6,1267,1252,123,583,1,Snowy,1.355602627054028,24,-0.7332068221183814,7
2023-04-02,Oppo Find X6,10,428,506,420,331,1,Cloudy,1.1678602222396806,64,-0.5747505012729854,4
2023-04-02,Vivo X90,49,1100,1071,231,465,1,Snowy,1.0335085861345135,43,0.9804757681746366,0
2023-04-02,Vivo X100,19,885,953,485,192,1,Snowy,0.5685075673415524,9,-0.27350764287564555,1
2023-04-03,iPhone 14,12,1216,1260,293,1058,0,Cloudy,0.5780318706538553,13,0.48161872946548834,7
2023-04-03,iPhone 14 Pro,13,886,955,264,467,0,Cloudy,0.7159852757295033,34,-0.5721542590005646,5
2023-04-03,iPhone 15,32,1490,1443,241,1325,0,Rainy,0.7924454609973959,98,0.7758036766566414,9
2023-04-03,iPhone 15 Pro,36,1045,1061,425,1341,0,Cloudy,0.9910679496535785,17,-0.13815887129800464,7
2023-04-03,Samsung Galaxy S22,9,1475,1515,353,513,0,Cloudy,0.7890063347344635,43,-0.4520187990548199,3
2023-04-03,Samsung Galaxy S23,45,435,406,155,618,0,Rainy,1.357200334324534,15,-0.5689134297909093,2
2023-04-03,Samsung Galaxy S24,27,373,327,456,181,0,Sunny,1.4660970640879096,20,-0.7193529604643478,7
2023-04-03,Google Pixel 6,27,523,544,117,1443,0,Rainy,1.0783076294705802,86,0.8241289057527783,4
2023-04-03,Google Pixel 7,33,396,397,224,1461,0,Rainy,1.456563928561169,6,0.3769755826231187,0
2023-04-03,Google Pixel 8,43,525,493,80,944,0,Sunny,0.8499975228576183,86,-0.317595855215693,0
2023-04-03,OnePlus 10,37,1254,1304,218,1068,0,Rainy,1.1561497145031654,96,-0.5483512244719324,8
2023-04-03,OnePlus 11,46,1165,1145,229,1125,0,Cloudy,0.9832486940446246,9,-0.7094165760684368,7
2023-04-03,OnePlus 12,30,630,684,453,607,0,Snowy,0.5502131214575727,71,-0.005237711181447224,1
2023-04-03,Xiaomi 12,28,1164,1218,282,592,0,Cloudy,1.340888976711485,20,0.698955899426472,2
2023-04-03,Xiaomi 13,25,751,813,481,947,0,Sunny,1.2509283935167224,61,0.728825982133857,5
2023-04-03,Xiaomi 14,37,1088,1117,88,261,0,Rainy,0.5915351174828057,14,-0.02087818754478854,7
2023-04-03,Oppo Find X5,32,1452,1466,77,455,0,Snowy,1.1818729434967667,64,0.3654876792540822,0
2023-04-03,Oppo Find X6,29,1397,1358,288,552,0,Cloudy,0.7605978863717762,47,0.4874736299048912,2
2023-04-03,Vivo X90,5,614,599,301,1014,0,Cloudy,1.0765639634226067,18,0.9421449172556393,4
2023-04-03,Vivo X100,16,1242,1227,175,162,0,Snowy,0.6427848501395647,50,-0.9973707331387471,1
2023-04-04,iPhone 14,37,348,443,174,800,0,Sunny,1.2009696545781203,4,-0.6991028984535674,5
2023-04-04,iPhone 14 Pro,37,1333,1408,316,187,0,Cloudy,0.5490535725877939,19,-0.15127242263730611,8
2023-04-04,iPhone 15,40,1210,1293,278,165,0,Snowy,1.1144100093171658,22,-0.6926513875727587,8
2023-04-04,iPhone 15 Pro,30,666,627,278,539,0,Rainy,0.9610489672188355,35,0.5634445319759194,5
2023-04-04,Samsung Galaxy S22,48,907,915,69,775,0,Rainy,0.5858422776205823,61,-0.15026414586397796,2
2023-04-04,Samsung Galaxy S23,33,1446,1481,468,554,0,Rainy,1.0947762147908349,0,-0.7266098510219274,3
2023-04-04,Samsung Galaxy S24,16,386,429,236,160,0,Sunny,1.3591723615699336,40,0.36302907088467573,3
2023-04-04,Google Pixel 6,5,596,668,192,793,0,Snowy,0.9549101448678428,78,0.6602778045533071,5
2023-04-04,Google Pixel 7,22,429,414,325,1011,0,Cloudy,0.7115286258634137,54,0.013566763164628126,9
2023-04-04,Google Pixel 8,9,941,946,261,1313,0,Rainy,0.5939637954103828,55,-0.8516547394301552,1
2023-04-04,OnePlus 10,29,639,641,447,1103,0,Cloudy,1.3067147680447275,75,-0.626384203619003,1
2023-04-04,OnePlus 11,20,1250,1293,476,1056,0,Rainy,0.7014464816457938,50,-0.1935389441050246,2
2023-04-04,OnePlus 12,34,1232,1304,230,802,0,Cloudy,1.4888376327800934,22,-0.0638318796247066,1
2023-04-04,Xiaomi 12,25,994,947,487,416,0,Cloudy,0.9645188648117188,4,-0.45485372817263703,1
2023-04-04,Xiaomi 13,48,1098,1166,399,1016,0,Cloudy,0.7357531800047834,67,0.9092995919774705,9
2023-04-04,Xiaomi 14,31,507,533,277,184,0,Sunny,1.1617651547273957,44,-0.48953756616286914,3
2023-04-04,Oppo Find X5,49,1456,1529,337,449,0,Rainy,0.6008888021058589,92,-0.3872379261274208,7
2023-04-04,Oppo Find X6,35,319,340,493,504,0,Cloudy,0.6146893178107586,83,0.2262439474831197,5
2023-04-04,Vivo X90,46,694,768,60,961,0,Cloudy,1.2786013587005565,60,-0.17767806830730182,0
2023-04-04,Vivo X100,7,1262,1353,357,385,0,Rainy,0.7851590295100673,14,-0.7382729481132426,8
2023-04-05,iPhone 14,12,1323,1344,452,387,0,Cloudy,0.6617733563847032,74,-0.9301882818537814,7
2023-04-05,iPhone 14 Pro,23,478,564,304,1087,0,Snowy,1.3224223100162773,2,-0.8562210907999732,4
2023-04-05,iPhone 15,12,825,894,436,507,0,Sunny,1.2168372067339026,71,-0.020711576361967854,9
2023-04-05,iPhone 15 Pro,22,1317,1348,106,211,0,Rainy,0.9384288920111806,59,0.2990522574987382,2
2023-04-05,Samsung Galaxy S22,7,341,299,356,756,0,Sunny,1.395520120380826,13,0.5546668900612324,2
2023-04-05,Samsung Galaxy S23,28,897,935,187,1035,0,Rainy,1.326414928848882,20,-0.6886477489160492,8
2023-04-05,Samsung Galaxy S24,48,1313,1271,197,283,0,Cloudy,0.9196538426710105,35,-0.5193542385103387,8
2023-04-05,Google Pixel 6,26,1392,1378,279,822,0,Snowy,0.8220322059754871,95,-0.8716090280043713,3
2023-04-05,Google Pixel 7,47,522,496,270,1339,0,Cloudy,1.214691733914757,72,-0.1919400993430802,1
2023-04-05,Google Pixel 8,8,907,917,63,724,0,Sunny,0.9110407805746115,23,-0.8294835507262788,7
2023-04-05,OnePlus 10,30,1483,1489,168,1284,0,Snowy,0.7906503293653684,34,0.6898800840375494,8
2023-04-05,OnePlus 11,49,1034,993,288,1431,0,Rainy,0.7662282863174682,38,0.3378002112372356,5
2023-04-05,OnePlus 12,24,1366,1344,411,1154,0,Sunny,1.102947630690604,37,-0.23998527151849625,3
2023-04-05,Xiaomi 12,6,823,807,247,859,0,Rainy,1.3831656779756176,60,-0.7438897230062391,6
2023-04-05,Xiaomi 13,19,538,555,327,1155,0,Cloudy,0.6729224976272612,14,-0.14559394543633086,2
2023-04-05,Xiaomi 14,26,1301,1259,83,327,0,Sunny,0.7506559800415695,44,0.6718982218231366,9
2023-04-05,Oppo Find X5,32,1086,1051,124,235,0,Sunny,1.2216296360047,17,0.5839299839292058,1
2023-04-05,Oppo Find X6,7,1043,1051,333,675,0,Rainy,0.8165281501979698,6,0.3237811094018006,9
2023-04-05,Vivo X90,21,1062,1062,334,468,0,Snowy,1.211882085229289,89,0.6745797181169699,8
2023-04-05,Vivo X100,9,815,869,490,1154,0,Cloudy,1.234373478676774,89,0.6570771518540988,9
2023-04-06,iPhone 14,6,643,616,404,1027,0,Cloudy,0.6726565358323989,18,0.8616873393663891,2
2023-04-06,iPhone 14 Pro,6,826,860,468,808,0,Cloudy,0.5056347598614291,6,0.16544295196755754,0
2023-04-06,iPhone 15,21,1177,1168,399,1323,0,Snowy,1.2500151792286953,69,-0.961129689635396,8
2023-04-06,iPhone 15 Pro,37,991,1059,374,1000,0,Snowy,1.3370077958031172,51,0.3396666776325772,7
2023-04-06,Samsung Galaxy S22,38,659,609,334,1031,0,Cloudy,0.7986460135867416,68,0.22656669368379734,3
2023-04-06,Samsung Galaxy S23,28,823,824,178,1258,0,Sunny,0.6615875017580682,42,0.4354067234186738,2
2023-04-06,Samsung Galaxy S24,33,321,324,412,597,0,Rainy,0.6782748083220408,68,0.22823030892489493,6
2023-04-06,Google Pixel 6,25,675,671,454,807,0,Sunny,1.042701247256645,14,0.3826997285523248,2
2023-04-06,Google Pixel 7,38,1372,1327,166,1241,0,Sunny,0.9912387759510036,76,0.9048413895069125,0
2023-04-06,Google Pixel 8,17,982,958,248,1495,0,Cloudy,0.7442044731879488,96,-0.8839073259629924,4
2023-04-06,OnePlus 10,27,515,493,151,222,0,Rainy,0.9729140445341385,44,0.18497280926385007,3
2023-04-06,OnePlus 11,21,1000,986,244,391,0,Cloudy,1.2922507001640182,78,-0.2477004315411122,5
2023-04-06,OnePlus 12,14,523,495,194,209,0,Snowy,1.3545465017352898,14,-0.6086029213939208,9
2023-04-06,Xiaomi 12,26,605,606,119,1058,0,Rainy,0.8524754415956994,82,-0.25339001975422515,3
2023-04-06,Xiaomi 13,7,1479,1495,255,885,0,Cloudy,0.6923431564750214,59,0.04591655513645443,0
2023-04-06,Xiaomi 14,19,884,976,228,1171,0,Snowy,0.7784920033573867,0,-0.6922998892654464,1
2023-04-06,Oppo Find X5,16,1353,1399,300,1215,0,Sunny,1.0275145198885447,62,-0.3218463032262273,5
2023-04-06,Oppo Find X6,19,726,766,386,1017,0,Sunny,1.4598434267385185,52,0.562233692418028,7
2023-04-06,Vivo X90,28,927,1012,326,130,0,Cloudy,0.9255057328396886,26,0.7639751815322593,0
2023-04-06,Vivo X100,37,775,768,348,386,0,Sunny,1.1232575096731314,75,0.24917049030234972,1
2023-04-07,iPhone 14,20,397,456,266,562,0,Snowy,1.4627405860568448,16,-0.8320966770004323,9
2023-04-07,iPhone 14 Pro,13,749,786,367,118,0,Sunny,1.15992429525906,73,-0.17703057576168302,5
2023-04-07,iPhone 15,32,934,948,429,614,0,Cloudy,0.8333971277696335,20,0.7725914895027994,6
2023-04-07,iPhone 15 Pro,18,501,570,186,488,0,Sunny,1.0744337572963585,89,0.5726191054205596,5
2023-04-07,Samsung Galaxy S22,29,375,461,187,595,0,Rainy,1.2646625552292448,89,-0.00035548450282196775,2
2023-04-07,Samsung Galaxy S23,47,849,932,448,1344,0,Cloudy,1.1456041128446275,4,-0.14722021046114975,1
2023-04-07,Samsung Galaxy S24,27,343,344,95,758,0,Snowy,1.0194527665175563,90,-0.3500162094728232,0
2023-04-07,Google Pixel 6,29,1497,1510,168,834,0,Snowy,0.8384805103679777,63,-0.4281874192100428,7
2023-04-07,Google Pixel 7,9,737,811,269,1308,0,Cloudy,1.2970768065627563,24,0.5113635540990398,8
2023-04-07,Google Pixel 8,38,1304,1330,441,734,0,Sunny,0.9443823623010649,95,0.23168778884247154,0
2023-04-07,OnePlus 10,11,1413,1441,489,788,0,Rainy,1.0697194065334856,78,-0.9929906729378835,7
2023-04-07,OnePlus 11,20,1469,1566,351,1125,0,Cloudy,1.0893809380091737,62,0.46113254086680966,6
2023-04-07,OnePlus 12,5,1172,1143,447,319,0,Sunny,1.4822645613556964,5,-0.6782930037014283,4
2023-04-07,Xiaomi 12,8,430,492,335,898,0,Rainy,0.6717311629018692,86,-0.8134797596383365,7
2023-04-07,Xiaomi 13,29,612,640,229,1103,0,Cloudy,1.4086927663029059,90,0.6646662812671662,2
2023-04-07,Xiaomi 14,37,556,539,68,1383,0,Snowy,0.8664566463399797,31,0.14415080807086267,1
2023-04-07,Oppo Find X5,7,1439,1536,251,1499,0,Rainy,0.7366367406335266,21,0.9610806080627083,8
2023-04-07,Oppo Find X6,46,987,1072,192,1155,0,Sunny,1.3466440643326782,29,-0.637899279055705,4
2023-04-07,Vivo X90,45,932,900,280,185,0,Cloudy,0.746516324409715,36,0.16424274163967212,9
2023-04-07,Vivo X100,22,406,458,159,375,0,Rainy,0.742098957326344,43,-0.48926874695940015,9
2023-04-08,iPhone 14,38,866,889,422,228,1,Snowy,0.9205376900688765,8,-0.9152761360944359,0
2023-04-08,iPhone 14 Pro,39,445,427,309,186,1,Cloudy,1.1411194650519794,63,-0.2658750885780976,7
2023-04-08,iPhone 15,9,887,965,320,1212,1,Rainy,0.6502148954669258,45,-0.6989183734709279,7
2023-04-08,iPhone 15 Pro,7,1249,1348,75,1206,1,Snowy,1.2050200348688116,59,-0.9350373559282106,3
2023-04-08,Samsung Galaxy S22,25,1115,1090,240,560,1,Snowy,1.2074619902218546,89,-0.5338118582758873,5
2023-04-08,Samsung Galaxy S23,47,327,412,462,504,1,Sunny,1.0295784165142505,87,0.8888759247099869,1
2023-04-08,Samsung Galaxy S24,40,808,788,352,133,1,Rainy,1.153560725545193,93,-0.4930926122592707,6
2023-04-08,Google Pixel 6,16,549,645,395,447,1,Rainy,1.2018624268242157,47,0.64717964834126,2
2023-04-08,Google Pixel 7,33,1191,1194,439,1044,1,Cloudy,0.6925760973468403,77,0.9512467409646426,2
2023-04-08,Google Pixel 8,49,1123,1074,410,1040,1,Snowy,1.4773889432082408,28,-0.07668163847716936,3
2023-04-08,OnePlus 10,6,1249,1247,81,228,1,Cloudy,0.5181995921510527,50,0.93906508307004,0
2023-04-08,OnePlus 11,5,825,867,180,337,1,Snowy,0.9792760802938882,9,0.04414714227466621,8
2023-04-08,OnePlus 12,18,911,998,217,938,1,Rainy,1.1923361649097233,78,0.10365644844717004,0
2023-04-08,Xiaomi 12,43,1469,1441,189,762,1,Sunny,1.1682594372081745,89,0.147828617892525,1
2023-04-08,Xiaomi 13,6,880,897,452,206,1,Sunny,0.9612705331522716,12,-0.4363486418006306,6
2023-04-08,Xiaomi 14,31,378,453,299,988,1,Snowy,1.215850015526811,87,-0.4743714508941166,3
2023-04-08,Oppo Find X5,48,1168,1134,272,1417,1,Rainy,0.6021723230355808,90,-0.6409434150126665,7
2023-04-08,Oppo Find X6,10,351,315,373,540,1,Snowy,0.7991161316119577,6,-0.5887901619217333,0
2023-04-08,Vivo X90,49,1429,1391,195,577,1,Cloudy,0.9342366966113957,23,0.5805654707456835,7
2023-04-08,Vivo X100,9,1486,1454,232,1200,1,Sunny,0.9705414860459752,37,-0.29744325509771663,8
2023-04-09,iPhone 14,44,1477,1551,54,1344,1,Rainy,0.735642331999687,2,-0.21131171353298583,8
2023-04-09,iPhone 14 Pro,42,747,821,375,1188,1,Sunny,0.8165070488750267,14,0.01631461312029514,2
2023-04-09,iPhone 15,7,592,666,162,855,1,Rainy,0.8064116673539465,70,0.009153935785601197,6
2023-04-09,iPhone 15 Pro,23,1375,1442,207,1486,1,Cloudy,1.4043543402503142,83,0.3502877088876968,8
2023-04-09,Samsung Galaxy S22,13,340,337,317,1261,1,Rainy,0.9863501151094953,51,-0.6018072118598605,5
2023-04-09,Samsung Galaxy S23,6,1082,1176,321,1279,1,Sunny,1.4819177845014142,9,0.7416652425707002,8
2023-04-09,Samsung Galaxy S24,32,707,675,274,679,1,Snowy,1.2160919178315135,11,-0.3775892813433841,3
2023-04-09,Google Pixel 6,10,1109,1088,58,1086,1,Rainy,0.9330049301124801,87,-0.5261442769776354,3
2023-04-09,Google Pixel 7,16,1034,1029,95,1140,1,Rainy,1.2257588754532756,53,0.2653325076367994,0
2023-04-09,Google Pixel 8,31,690,775,377,1338,1,Snowy,0.9314314670374882,81,-0.5770593599005069,6
2023-04-09,OnePlus 10,42,1251,1316,314,363,1,Rainy,0.8254689886766227,71,-0.6316069406735276,3
2023-04-09,OnePlus 11,35,913,865,148,1462,1,Cloudy,1.2386526505881421,11,0.9728530922870595,1
2023-04-09,OnePlus 12,28,387,399,459,685,1,Rainy,1.190920570071195,12,0.8029431678953101,5
2023-04-09,Xiaomi 12,17,932,971,261,1000,1,Snowy,1.0575182646672752,13,0.43931014655622835,7
2023-04-09,Xiaomi 13,19,1004,1004,281,483,1,Cloudy,0.501333639490792,57,0.3046924951662764,7
2023-04-09,Xiaomi 14,20,1365,1335,59,924,1,Sunny,0.7134478813260423,85,0.7650986289286963,5
2023-04-09,Oppo Find X5,8,1033,1044,262,352,1,Snowy,0.9595870058794439,84,0.27268863063617865,9
2023-04-09,Oppo Find X6,6,1460,1454,195,979,1,Snowy,1.1815350002084708,40,0.3475250984938649,9
2023-04-09,Vivo X90,40,1390,1380,148,1429,1,Snowy,1.4609174315580615,78,0.3590146498567648,2
2023-04-09,Vivo X100,44,1429,1523,242,1104,1,Sunny,1.243865280888171,55,0.5608792798223547,8
2023-04-10,iPhone 14,46,817,864,378,329,0,Snowy,0.80842108882868,7,0.9683509702301545,7
2023-04-10,iPhone 14 Pro,7,1342,1389,401,1172,0,Snowy,0.86406287179666,77,0.8023782439092033,4
2023-04-10,iPhone 15,21,1082,1152,303,872,0,Cloudy,1.2910298770117512,74,-0.40531250491990867,9
2023-04-10,iPhone 15 Pro,41,839,838,51,1335,0,Snowy,1.3958438904667898,23,-0.6714726725587521,5
2023-04-10,Samsung Galaxy S22,44,1499,1567,270,613,0,Cloudy,1.0558710963965052,48,-0.08418118607056924,8
2023-04-10,Samsung Galaxy S23,21,578,620,460,1428,0,Snowy,1.0298863139801888,63,0.46640960990595315,5
2023-04-10,Samsung Galaxy S24,48,1340,1430,357,543,0,Snowy,1.200779539547237,63,-0.6524022857295206,1
2023-04-10,Google Pixel 6,35,898,949,497,1284,0,Snowy,0.5549534538686266,18,0.10197848899244666,0
2023-04-10,Google Pixel 7,44,1205,1166,384,1090,0,Cloudy,1.1097240475222925,35,-0.05913550467351736,9
2023-04-10,Google Pixel 8,48,397,393,386,1162,0,Rainy,0.6841300230811849,96,0.9029545057051871,9
2023-04-10,OnePlus 10,40,752,798,306,408,0,Rainy,0.5714383830088283,68,0.7579846155173002,2
2023-04-10,OnePlus 11,17,1389,1397,373,158,0,Cloudy,0.8839601263173785,9,-0.30700987364635,1
2023-04-10,OnePlus 12,30,1274,1300,185,1016,0,Sunny,0.8913328364661927,96,-0.22394476331697155,7
2023-04-10,Xiaomi 12,26,1001,1023,222,821,0,Rainy,0.7070721753902434,69,-0.9838834222089297,7
2023-04-10,Xiaomi 13,43,442,435,81,127,0,Snowy,1.3933416418276083,31,0.23737469942394251,1
2023-04-10,Xiaomi 14,43,971,1068,402,523,0,Snowy,1.4755431937239534,68,-0.870599338992023,4
2023-04-10,Oppo Find X5,28,316,411,275,751,0,Snowy,0.5519934314113003,33,-0.11505814601296316,8
2023-04-10,Oppo Find X6,43,1091,1105,166,1279,0,Snowy,1.0722677888644485,65,0.7295804439997908,7
2023-04-10,Vivo X90,35,1278,1297,127,166,0,Snowy,0.6112956627570665,93,0.062397588483023014,2
2023-04-10,Vivo X100,23,370,429,278,1045,0,Cloudy,1.1885832059788233,6,0.42449778368802793,8
2023-04-11,iPhone 14,16,1210,1287,244,1317,0,Snowy,1.1564131342296728,67,0.29385668219649363,1
2023-04-11,iPhone 14 Pro,38,553,529,109,217,0,Cloudy,1.0926586478854468,81,0.7092724136373096,3
2023-04-11,iPhone 15,25,397,365,346,637,0,Snowy,0.7698334532910943,94,0.8923950529600635,9
2023-04-11,iPhone 15 Pro,42,475,434,286,522,0,Snowy,0.6222529398734477,99,-0.4359152904206578,2
2023-04-11,Samsung Galaxy S22,16,952,926,277,1212,0,Snowy,1.46929466204908,38,-0.6259146295225713,0
2023-04-11,Samsung Galaxy S23,22,406,466,326,1337,0,Cloudy,0.8041824776285161,5,0.7476395525601045,1
2023-04-11,Samsung Galaxy S24,5,1253,1309,229,1032,0,Snowy,1.052940748189252,18,0.7997861072655341,1
2023-04-11,Google Pixel 6,41,1415,1446,274,178,0,Rainy,1.3029298413742763,54,-0.7165923239452563,2
2023-04-11,Google Pixel 7,32,1479,1548,251,567,0,Sunny,0.8564178551577876,85,-0.3676986164433429,6
2023-04-11,Google Pixel 8,11,765,721,233,759,0,Rainy,1.3504529177837905,57,0.4366966490414854,6
2023-04-11,OnePlus 10,31,886,979,392,799,0,Cloudy,1.0924431854090764,39,-0.03618486232799567,5
2023-04-11,OnePlus 11,28,921,952,127,1077,0,Rainy,0.5213888466750798,33,0.8111521179931374,6
2023-04-11,OnePlus 12,42,471,487,367,1007,0,Rainy,0.5582377827106783,64,-0.08621089003514415,5
2023-04-11,Xiaomi 12,10,1142,1223,142,960,0,Rainy,1.0701204851150568,7,-0.05507934229210476,0
2023-04-11,Xiaomi 13,23,1002,1094,286,386,0,Sunny,1.183730693510539,65,-0.38150296474971723,7
2023-04-11,Xiaomi 14,49,1126,1087,302,388,0,Snowy,1.4902498679211995,20,-0.9644297174750331,5
2023-04-11,Oppo Find X5,43,422,477,497,313,0,Rainy,0.9539329617429904,71,0.34748926009603553,7
2023-04-11,Oppo Find X6,28,339,364,480,747,0,Rainy,1.059786857071392,53,-0.7128450731028095,7
2023-04-11,Vivo X90,8,808,773,251,974,0,Rainy,0.7219156227133026,10,0.025472940570450353,5
2023-04-11,Vivo X100,19,1383,1334,285,1459,0,Cloudy,1.0197424864372673,77,0.9364702470523412,4
2023-04-12,iPhone 14,14,1244,1302,225,1083,0,Snowy,1.056948418628263,59,-0.2117335143433765,6
2023-04-12,iPhone 14 Pro,31,1302,1258,354,793,0,Sunny,0.5156074366552609,41,0.037062866633416736,1
2023-04-12,iPhone 15,30,819,821,447,1322,0,Cloudy,1.4000295705347177,77,-0.4269052028923659,5
2023-04-12,iPhone 15 Pro,30,1479,1570,58,765,0,Rainy,1.4412195287456573,33,0.6873367508388819,1
2023-04-12,Samsung Galaxy S22,17,944,943,72,1499,0,Snowy,1.4838459228475456,71,0.5887046584953504,8
2023-04-12,Samsung Galaxy S23,5,1479,1541,367,337,0,Rainy,1.1314735671327503,58,-0.008128330903241165,0
2023-04-12,Samsung Galaxy S24,9,954,955,246,575,0,Sunny,0.9302026964679699,69,-0.05054442945903315,1
2023-04-12,Google Pixel 6,19,1154,1176,480,715,0,Rainy,0.9129920601928876,46,0.570663382277568,8
2023-04-12,Google Pixel 7,5,358,409,241,747,0,Cloudy,1.2870566539903663,17,0.7980474544267329,9
2023-04-12,Google Pixel 8,36,544,541,350,537,0,Snowy,1.447227027346711,45,-0.16666390015981003,4
2023-04-12,OnePlus 10,20,1273,1343,137,1340,0,Sunny,1.0584699657300691,61,0.5781479657633872,9
2023-04-12,OnePlus 11,49,673,669,207,507,0,Rainy,1.1568075215238893,22,-0.8382605083357879,4
2023-04-12,OnePlus 12,17,562,652,265,895,0,Snowy,0.8257370224504327,97,-0.4461966205181247,2
2023-04-12,Xiaomi 12,42,342,333,144,287,0,Sunny,0.5958053557868854,38,0.6385420562871966,0
2023-04-12,Xiaomi 13,27,788,882,394,617,0,Cloudy,0.5865873581793503,39,-0.9463041311686673,6
2023-04-12,Xiaomi 14,49,824,777,227,845,0,Cloudy,1.3029920178671528,26,-0.47361499163982135,0
2023-04-12,Oppo Find X5,12,843,809,339,902,0,Cloudy,0.7156863139098707,23,-0.28973356936841865,1
2023-04-12,Oppo Find X6,43,796,834,460,996,0,Sunny,1.1934258420162736,9,0.6745625473981167,8
2023-04-12,Vivo X90,24,868,883,424,1235,0,Cloudy,1.3521395638544758,13,0.9553354353981207,1
2023-04-12,Vivo X100,39,1121,1082,175,861,0,Cloudy,0.8959410958139741,52,-0.1358979449919051,5
2023-04-13,iPhone 14,46,755,771,115,1011,0,Cloudy,0.674410543216415,15,-0.37604319670420305,9
2023-04-13,iPhone 14 Pro,32,949,916,352,1027,0,Rainy,0.8878989014564063,35,0.9474964282359211,4
